time/fps,time/time_elapsed,time/total_timesteps,time/iterations,train/entropy_loss,train/value_loss,train/explained_variance,train/n_updates,train/clip_fraction,train/policy_gradient_loss,train/approx_kl,train/learning_rate,train/loss,train/clip_range
84,24,2048,1,,,,,,,,,,
78,51,4096,2,-21.919043838977814,4485629.220214844,5.143880844116211e-05,4,0.0302734375,-0.014489587214484345,0.0062541794,0.0003,4315745.0,0.2
74,82,6144,3,-21.913345359265804,3447170.2888183594,-5.459785461425781e-05,8,0.0313720703125,-0.014509592881950084,0.006604608,0.0003,2408848.25,0.2
73,111,8192,4,-21.911278262734413,4459870.051422119,-1.0132789611816406e-05,12,0.015380859375,-0.01054342339921277,0.005350114,0.0003,2606208.5,0.2
73,139,10240,5,-21.90817452222109,3418143.7940063477,3.993511199951172e-06,16,0.027099609375,-0.014436966728681,0.0062830374,0.0003,1902670.375,0.2
73,167,12288,6,-21.902968533337116,3362583.901977539,9.5367431640625e-07,20,0.0352783203125,-0.013622017282614252,0.006998878,0.0003,1220904.375,0.2
73,195,14336,7,-21.89662779867649,4522632.750732422,5.841255187988281e-06,24,0.041259765625,-0.014120062784058973,0.006987807,0.0003,1992320.0,0.2
72,227,16384,8,-21.894786722958088,3388225.507446289,1.6689300537109375e-06,28,0.02294921875,-0.014817363105066761,0.005977032,0.0003,1614409.0,0.2
72,255,18432,9,-21.890285454690456,4516732.642578125,1.3053417205810547e-05,32,0.0145263671875,-0.01061584517447045,0.0049936725,0.0003,2606918.5,0.2
72,283,20480,10,-21.889045141637325,3444114.2817382812,2.0265579223632812e-06,36,0.0313720703125,-0.013389045472649741,0.0058581643,0.0003,2678422.75,0.2
72,311,22528,11,-21.895185753703117,3597609.3564453125,2.5033950805664062e-06,40,0.0494384765625,-0.015804814804141643,0.008150421,0.0003,705470.75,0.2
72,339,24576,12,-21.890460215508938,4107753.422973633,1.6689300537109375e-06,44,0.02783203125,-0.012716386412648717,0.005743402,0.0003,2325602.0,0.2
72,367,26624,13,-21.89302097260952,3403162.2857666016,1.0728836059570312e-06,48,0.0455322265625,-0.014858916940283962,0.007196975,0.0003,1617123.75,0.2
72,395,28672,14,-21.88782922923565,4523054.661621094,2.4437904357910156e-06,52,0.0250244140625,-0.012753049511957215,0.005958,0.0003,1829495.125,0.2
72,423,30720,15,-21.88045148551464,3356966.910888672,1.2516975402832031e-06,56,0.0604248046875,-0.01462846300091769,0.0074293194,0.0003,1486810.0,0.2
72,451,32768,16,-21.88976065069437,3960771.755126953,1.8477439880371094e-06,60,0.023193359375,-0.012971526990440907,0.0052899653,0.0003,3173576.5,0.2
72,479,34816,17,-21.88221177458763,3726902.8924560547,1.2516975402832031e-06,64,0.0250244140625,-0.012196108615171397,0.006130706,0.0003,1637374.25,0.2
72,507,36864,18,-21.875881284475327,3370102.1712646484,1.0728836059570312e-06,68,0.0572509765625,-0.013770773908618139,0.00837503,0.0003,2226594.0,0.2
72,536,38912,19,-21.88154949992895,4502973.415527344,7.748603820800781e-07,72,0.0330810546875,-0.014259022093028761,0.006284911,0.0003,1698620.125,0.2
72,567,40960,20,-21.882613956928253,3441342.6293945312,5.364418029785156e-07,76,0.0633544921875,-0.01312233187854872,0.009079927,0.0003,1643909.0,0.2
71,598,43008,21,-21.886705972254276,4468631.5068359375,5.364418029785156e-07,80,0.0224609375,-0.011584413834498264,0.0068004206,0.0003,2954302.0,0.2
71,629,45056,22,-21.875926598906517,3494633.35546875,1.7881393432617188e-07,84,0.0565185546875,-0.0160524837228877,0.007771478,0.0003,893755.0625,0.2
71,659,47104,23,-21.875294491648674,3396367.440185547,1.7881393432617188e-07,88,0.051513671875,-0.015068505232193274,0.006697064,0.0003,2523341.0,0.2
70,692,49152,24,-21.857335574924946,4445639.507080078,2.980232238769531e-07,92,0.0474853515625,-0.012485885425121523,0.0076379566,0.0003,3429174.5,0.2
70,725,51200,25,-21.850183375179768,3389041.434753418,0.0,96,0.0540771484375,-0.012596804863278521,0.007993425,0.0003,2663448.5,0.2
