time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/clip_range,train/n_updates,train/learning_rate,train/explained_variance,train/value_loss,train/approx_kl,train/loss,train/entropy_loss,train/policy_gradient_loss,train/clip_fraction
2048,1,83,24,,,,,,,,,,
4096,2,78,52,0.2,4,0.0003,3.826618194580078e-05,4524721.595336914,0.0067717955,4444040.5,-21.919117659330368,-0.0161662709160737,0.0343017578125
6144,3,76,79,0.2,8,0.0003,-0.0001499652862548828,3431897.1484375,0.007424375,2457477.25,-21.909097462892532,-0.013944884798547719,0.060791015625
8192,4,75,108,0.2,12,0.0003,-0.0001266002655029297,4449153.947113037,0.0065062125,2645070.75,-21.911744572222233,-0.011494669857711415,0.0224609375
10240,5,75,136,0.2,16,0.0003,4.172325134277344e-07,3421061.0247192383,0.006305136,1938334.125,-21.90114924311638,-0.013963402194349328,0.02587890625
12288,6,74,164,0.2,20,0.0003,9.5367431640625e-07,3391935.52734375,0.007237565,1212659.0,-21.90138564258814,-0.016074062186817173,0.0537109375
14336,7,74,192,0.2,24,0.0003,7.748603820800781e-06,4507183.4619140625,0.005391393,2013372.5,-21.90093357861042,-0.011753164655601722,0.01611328125
16384,8,74,220,0.2,28,0.0003,2.0265579223632812e-06,3400304.345336914,0.0059896344,1629479.25,-21.896674938499928,-0.011836759440484457,0.0325927734375
18432,9,74,248,0.2,32,0.0003,9.059906005859375e-06,4516593.1171875,0.006394418,2693016.75,-21.891373977065086,-0.013472514925524592,0.0286865234375
20480,10,73,277,0.2,36,0.0003,2.562999725341797e-06,3441274.2250976562,0.007157187,2600452.5,-21.881779812276363,-0.01496455062442692,0.042236328125
22528,11,73,306,0.2,40,0.0003,5.066394805908203e-06,3592350.9333496094,0.0071804356,710908.0,-21.87150825560093,-0.015560572241156478,0.047119140625
24576,12,73,335,0.2,44,0.0003,4.708766937255859e-06,4092233.4315185547,0.00620178,2267383.75,-21.864785842597485,-0.011838288275612285,0.023193359375
26624,13,73,363,0.2,48,0.0003,1.9073486328125e-06,3406556.840576172,0.0060398607,1607713.625,-21.860455259680748,-0.013319301240699133,0.0242919921875
28672,14,72,393,0.2,52,0.0003,6.020069122314453e-06,4513853.419921875,0.0064562047,1845951.125,-21.85248974710703,-0.012112573929698556,0.032470703125
30720,15,72,422,0.2,56,0.0003,2.0265579223632812e-06,3409402.8889160156,0.0077731437,1439991.25,-21.85561951249838,-0.015788470236657304,0.059326171875
32768,16,72,451,0.2,60,0.0003,4.231929779052734e-06,3976166.9482421875,0.0063398667,3324121.0,-21.843217350542545,-0.012269014687262825,0.03466796875
34816,17,72,480,0.2,64,0.0003,1.2516975402832031e-06,3728636.179321289,0.007675745,1596440.625,-21.834306962788105,-0.014493465121631743,0.044677734375
36864,18,72,509,0.2,68,0.0003,1.9073486328125e-06,3387501.180541992,0.0072102686,2202366.25,-21.837099812924862,-0.014949068492569495,0.0528564453125
38912,19,72,538,0.2,72,0.0003,1.4901161193847656e-06,4521635.5673828125,0.006131579,1726112.25,-21.84536959975958,-0.011661195330816554,0.028076171875
40960,20,72,566,0.2,76,0.0003,5.364418029785156e-07,3441689.695617676,0.007047186,1698400.125,-21.834964245557785,-0.014715280100062955,0.063232421875
43008,21,72,595,0.2,80,0.0003,2.2649765014648438e-06,4452060.585449219,0.006620872,2911347.25,-21.8368558883667,-0.012473487937313621,0.032470703125
45056,22,72,623,0.2,84,0.0003,7.152557373046875e-07,3501826.978515625,0.007341139,907351.5625,-21.827328450977802,-0.012308747336646775,0.0579833984375
47104,23,72,651,0.2,88,0.0003,1.6093254089355469e-06,3413915.9162597656,0.00811714,2546051.75,-21.82141323387623,-0.016363324866688345,0.0748291015625
49152,24,72,680,0.2,92,0.0003,4.76837158203125e-07,4400974.146240234,0.0072443625,3379384.25,-21.817937165498734,-0.013803988302242942,0.0526123046875
51200,25,72,708,0.2,96,0.0003,1.1920928955078125e-07,3406023.4962234497,0.00854393,2667028.5,-21.814897648990154,-0.011049154283682583,0.0546875
53248,26,72,737,0.2,100,0.0003,2.384185791015625e-07,4510804.118408203,0.0050044395,725099.6875,-21.79436870664358,-0.010347705498134019,0.0181884765625
55296,27,72,765,0.2,104,0.0003,1.1920928955078125e-07,3401122.2115478516,0.0070373258,1696687.625,-21.808931030333042,-0.012870338552602334,0.053466796875
57344,28,72,794,0.2,108,0.0003,1.7881393432617188e-07,3756049.275390625,0.0061696004,2644252.0,-21.804129779338837,-0.011453193408669904,0.044677734375
59392,29,72,822,0.2,112,0.0003,1.7881393432617188e-07,3879743.778076172,0.0067713344,3558821.75,-21.78048899769783,-0.012484754784964025,0.0389404296875
61440,30,72,850,0.2,116,0.0003,0.0,3384379.8881835938,0.0077865194,1367114.25,-21.808779314160347,-0.01264314066429506,0.0423583984375
63488,31,72,879,0.2,120,0.0003,1.7881393432617188e-07,4445475.016113281,0.0069238693,3154609.5,-21.77216135710478,-0.012056289195243153,0.03271484375
65536,32,72,907,0.2,124,0.0003,-1.1920928955078125e-07,3427809.817626953,0.009467432,1147111.5,-21.775626361370087,-0.015613516316079767,0.078857421875
67584,33,72,936,0.2,128,0.0003,1.7881393432617188e-07,4349160.748901367,0.0069232024,2188782.0,-21.76958441734314,-0.011507008097396465,0.04443359375
69632,34,72,965,0.2,132,0.0003,0.0,3398733.9916992188,0.009337986,148462.765625,-21.750942707061768,-0.01502518819688703,0.07568359375
71680,35,72,994,0.2,136,0.0003,1.1920928955078125e-07,3346112.1391601562,0.0087519465,2582488.5,-21.74219460040331,-0.016348508546798257,0.071044921875
73728,36,72,1023,0.2,140,0.0003,-1.1920928955078125e-07,4413923.341064453,0.006937971,1852275.125,-21.737781420350075,-0.010994442849550978,0.0311279296875
75776,37,72,1052,0.2,144,0.0003,0.0,3290256.188354492,0.008424468,1236506.625,-21.73478453606367,-0.013081652272376232,0.0693359375
77824,38,71,1082,0.2,148,0.0003,0.0,4483167.604980469,0.0074969796,2806952.25,-21.73024982959032,-0.013330525827768724,0.056640625
79872,39,71,1111,0.2,152,0.0003,1.7881393432617188e-07,3386982.12399292,0.009765087,2602524.75,-21.719016425311565,-0.015845521873416146,0.111328125
81920,40,71,1140,0.2,156,0.0003,1.1920928955078125e-07,3519936.8764038086,0.009744441,1208277.125,-21.73745498806238,-0.013630749223011662,0.0986328125
83968,41,71,1170,0.2,160,0.0003,-1.1920928955078125e-07,4200233.512451172,0.0055716834,1228913.125,-21.74353589117527,-0.010146907054149779,0.022216796875
86016,42,71,1198,0.2,164,0.0003,-1.1920928955078125e-07,3354369.068786621,0.0066432822,2067591.125,-21.72527015209198,-0.011627847112322343,0.0430908203125
88064,43,71,1227,0.2,168,0.0003,5.960464477539063e-08,4479563.481933594,0.006445272,2439534.0,-21.73006124049425,-0.010594436593237333,0.0277099609375
90112,44,71,1255,0.2,172,0.0003,0.0,3370057.8795166016,0.008255067,2212484.25,-21.711546890437603,-0.01651892743757344,0.0718994140625
92160,45,71,1283,0.2,176,0.0003,0.0,3949328.048828125,0.008530738,1900858.5,-21.73770233988762,-0.012834282897529192,0.06787109375
94208,46,71,1312,0.2,180,0.0003,-1.1920928955078125e-07,3567472.287841797,0.007931484,1412214.25,-21.750316359102726,-0.012336812582361745,0.0499267578125
96256,47,71,1340,0.2,184,0.0003,0.0,3339576.127258301,0.008441218,2216645.0,-21.761571675539017,-0.014512893008941319,0.0723876953125
98304,48,71,1368,0.2,188,0.0003,0.0,4542025.721191406,0.0058624074,2469162.25,-21.76231763511896,-0.011555313702046988,0.0318603515625
100352,49,71,1396,0.2,192,0.0003,-2.384185791015625e-07,3373861.4219970703,0.008144899,3246915.75,-21.739481039345264,-0.01124718082792242,0.05517578125
