time/fps,time/time_elapsed,time/iterations,time/total_timesteps,train/value_loss,train/approx_kl,train/loss,train/policy_gradient_loss,train/explained_variance,train/clip_range,train/learning_rate,train/clip_fraction,train/entropy_loss,train/n_updates
292,3,1,1024,,,,,,,,,,
278,7,2,2048,21.733165383338928,0.005032755,6.524410724639893,-0.011615004070335999,0.03260791301727295,0.2,0.0003,0.018798828125,-10.512746632099152,4
275,11,3,3072,23.58122682571411,0.004582064,9.173502922058105,-0.00858088443055749,-0.07176029682159424,0.2,0.0003,0.012939453125,-10.504629611968994,8
269,15,4,4096,20.98893117904663,0.0049156174,8.275333404541016,-0.00987484902725555,-0.040097594261169434,0.2,0.0003,0.014404296875,-10.491574704647064,12
267,19,5,5120,21.998618602752686,0.005620311,9.322813987731934,-0.008967207570094615,-0.033243656158447266,0.2,0.0003,0.02099609375,-10.47656923532486,16
268,22,6,6144,20.079526901245117,0.0040129498,8.823914527893066,-0.0056324116012547165,-0.042348504066467285,0.2,0.0003,0.011962890625,-10.462531983852386,20
268,26,7,7168,21.015034079551697,0.0044163903,9.371776580810547,-0.0055964293133001775,-0.03491044044494629,0.2,0.0003,0.01220703125,-10.452697038650513,24
268,30,8,8192,19.88222026824951,0.006714765,9.09723949432373,-0.010943359666271135,-0.0354304313659668,0.2,0.0003,0.02978515625,-10.434776186943054,28
268,34,9,9216,20.650242805480957,0.0043375734,9.399450302124023,-0.007122418668586761,-0.023111462593078613,0.2,0.0003,0.012939453125,-10.4145947098732,32
267,38,10,10240,18.928722977638245,0.008134512,8.704236030578613,-0.009909760075970553,-0.01843082904815674,0.2,0.0003,0.039794921875,-10.398658990859985,36
268,42,11,11264,19.94197142124176,0.007137406,8.921424865722656,-0.007716034553595819,-0.013268709182739258,0.2,0.0003,0.050537109375,-10.41771912574768,40
267,45,12,12288,18.972172617912292,0.004024316,8.615019798278809,-0.008210799191147089,-0.012605428695678711,0.2,0.0003,0.009765625,-10.411044836044312,44
267,49,13,13312,18.14690399169922,0.006441471,8.208399772644043,-0.009476781153352931,-0.008656620979309082,0.2,0.0003,0.0302734375,-10.392208516597748,48
267,53,14,14336,20.045087814331055,0.004861554,9.787897109985352,-0.006562321970704943,-0.008677244186401367,0.2,0.0003,0.015380859375,-10.39537101984024,52
267,57,15,15360,17.91042399406433,0.006106239,8.586504936218262,-0.00776784893241711,-0.007322430610656738,0.2,0.0003,0.019775390625,-10.379052996635437,56
267,61,16,16384,17.63806676864624,0.009585397,8.041863441467285,-0.012198322714539245,-0.007621407508850098,0.2,0.0003,0.05224609375,-10.348217070102692,60
267,65,17,17408,16.999816417694092,0.010542477,8.20044994354248,-0.010878930042963475,-0.006324291229248047,0.2,0.0003,0.06201171875,-10.355822443962097,64
267,68,18,18432,17.059290051460266,0.0067750635,7.515196800231934,-0.008147504624503199,-0.0034865140914916992,0.2,0.0003,0.03369140625,-10.341314852237701,68
267,72,19,19456,17.925317764282227,0.0042633303,8.600703239440918,-0.006699002638924867,-0.001814126968383789,0.2,0.0003,0.0126953125,-10.341236293315887,72
267,76,20,20480,15.856367886066437,0.006920292,7.622246742248535,-0.008784187317360193,-0.004331231117248535,0.2,0.0003,0.03125,-10.329539358615875,76
267,80,21,21504,16.1893447637558,0.0071390523,7.722792148590088,-0.012173166032880545,-0.004093647003173828,0.2,0.0003,0.036376953125,-10.34619140625,80
267,84,22,22528,15.295531034469604,0.011724971,7.296368598937988,-0.010891100304434076,-0.003755331039428711,0.2,0.0003,0.0673828125,-10.326857388019562,84
266,88,23,23552,16.138069689273834,0.006043899,7.769028663635254,-0.008215601206757128,-0.002997756004333496,0.2,0.0003,0.02001953125,-10.312306344509125,88
266,92,24,24576,15.164055228233337,0.007379233,7.500068664550781,-0.008639249455882236,-0.0020551681518554688,0.2,0.0003,0.03759765625,-10.356227695941925,92
266,95,25,25600,15.535816431045532,0.008144931,7.560729503631592,-0.008796205911494326,-0.0013058185577392578,0.2,0.0003,0.038818359375,-10.328713834285736,96
266,99,26,26624,15.676624834537506,0.006607644,6.6367950439453125,-0.009349280735477805,-0.0015653371810913086,0.2,0.0003,0.030029296875,-10.321394562721252,100
266,103,27,27648,15.282158195972443,0.008613028,7.208237171173096,-0.007572421047370881,-0.001099705696105957,0.2,0.0003,0.04052734375,-10.284665644168854,104
267,107,28,28672,15.620238900184631,0.010191273,6.916247844696045,-0.010972584132105112,-0.0016421079635620117,0.2,0.0003,0.060546875,-10.261794686317444,108
267,111,29,29696,14.14776760339737,0.008078822,6.517371654510498,-0.012029207369778305,-0.0012629032135009766,0.2,0.0003,0.043212890625,-10.281859993934631,112
267,114,30,30720,13.998822808265686,0.01136568,7.413421630859375,-0.01207025721669197,-0.0010651350021362305,0.2,0.0003,0.06640625,-10.23040908575058,116
